Billing Account-Id,Booking Account-Id,Date,Payments,Payment mode,Payment Txn Id,International,Remarks,InvoiceId,Taxable value,Tax amount,Invoice amount
,3247896,28 Sep 2024,"9,678.56",CREDIT_CARD,152520,false,152520,7487,"8,641.56","1,037.00","9,678.56"
,3193582,28 Sep 2024,"8,791.99",CREDIT_CARD,391815,false,391815,7488,"7,889.03",902.94,"8,791.99"
,3252723,29 Sep 2024,617.42,CREDIT_CARD,076931,false,,7493,588.00,29.42,617.42
,3252854,29 Sep 2024,"2,724.61",CREDIT_CARD,004998,false,004998,7504,"10,002.50","1,118.74","11,121.27"
,3248117,30 Sep 2024,"8,000.00",CREDIT_CARD,063182,false,,7506,"7,142.84",857.16,"8,000.00"
,3232939,30 Sep 2024,"7,246.72",CREDIT_CARD,128748,false,,7507,"6,556.55",690.16,"7,246.72"
,3186462,30 Sep 2024,"1,879.85",CREDIT_CARD,689803,false,,7531,"11,688.00","1,277.34","12,965.36"
,3256774,30 Sep 2024,572.25,CREDIT_CARD,531930,false,,7532,"3,845.00",423.26,"4,268.25"
702,3190422,19 Sep 2024,"2,500.00",CREDIT_CARD,007909,false,,7402,"13,012.18","1,561.52","14,573.70"
,3188293,03 Sep 2024,518.18,CREDIT_CARD,POS - RESTAURANT - 3996-20240903 - CreditCard - VISA ,false,,,-,-,-
,3188293,03 Sep 2024,"1,587.60",CREDIT_CARD,POS - RESTAURANT - 3999-20240903 - CreditCard - VISA ,false,,,-,-,-
,3200586,08 Sep 2024,"1,157.63",CREDIT_CARD,POS - ROOM_SERVICE - 4025-20240908 - CreditCard - VISA ,false,,,-,-,-
,3200638,08 Sep 2024,727.65,CREDIT_CARD,POS - RESTAURANT - 4028-20240908 - CreditCard - VISA ,false,,,-,-,-
,3209466,11 Sep 2024,926.11,CREDIT_CARD,POS - RESTAURANT - 4037-20240911 - CreditCard - VISA ,false,,,-,-,-
,3214480,13 Sep 2024,771.75,CREDIT_CARD,POS - RESTAURANT - 4046-20240913 - CreditCard - VISA ,false,,,-,-,-
,3214480,13 Sep 2024,275.63,CREDIT_CARD,POS - RESTAURANT - 4047-20240913 - CreditCard - VISA ,false,,,-,-,-
,3253178,26 Sep 2024,"1,890.80",CREDIT_CARD,POS - RESTAURANT - 4094-20240926 - CreditCard - VISA ,false,,,-,-,-
,3254830,27 Sep 2024,882.01,CREDIT_CARD,POS - RESTAURANT - 4100-20240927 - CreditCard - VISA ,false,,,-,-,-
,3258535,28 Sep 2024,413.44,CREDIT_CARD,POS - RESTAURANT - 4105-20240928 - CreditCard - VISA ,false,,,-,-,-
,,,"216,124.39",CREDIT_CARD,,,,,,,
,,,,,,,,,,,
,3174572,01 Sep 2024,"5,801.00",ONLINE,pay_OrmUXXg8QQuJES,false,,7255,"5,178.58",621.44,"5,800.04"
,3182876,01 Sep 2024,"11,760.02",ONLINE,pay_Ormk9OLsTMducB,false,,7435,"10,500.00","1,260.00","11,760.02"
,3184451,02 Sep 2024,"4,535.17",ONLINE,pay_OsApKqVmDpVYeH,false,,7280,"5,640.00",565.48,"6,205.49"
,3185128,02 Sep 2024,"5,712.00",ONLINE,pay_OsIkEm3lMhJt0B,false,,7308,"5,310.00",622.50,"5,932.50"
,3186462,03 Sep 2024,"11,085.51",ONLINE,pay_OsUomOJ5xzzAay,false,,7531,"11,688.00","1,277.34","12,965.36"
